start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,trans_costs_FTL,trans_costs_CES,trans_costs_LTL,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-28_19:12:18.359842,0.7318723201751709,3927,25,34,15,6174.036343949403,6174.036343949403,0.0,3978.9585924082057,1700.0,36.443894458416516,483.7311795801129,0.0,3534.609999999979,444.3485924082264,0.0,56.00000000000001,44.0
2023-07-28_19:12:23.065041,0.7859628200531006,3927,25,34,20,7807.991443901678,7807.991443901522,2.0034997454706936e-14,5636.533309713509,1600.0,114.29052379975403,1932.6218808175704,7.556481571041572e-12,4712.949999999989,923.5833097135128,0.0,32.0,68.0
2023-07-28_19:12:28.375185,1.4991745948791504,3927,25,34,20,8080.789811597696,8080.705447237124,1.044011322396972e-05,5175.5405667895075,1700.0,169.09200701364412,3913.9304350310426,0.0,4712.129999999988,463.41056678951935,0.0,56.00000000000001,44.0
2023-07-28_19:12:33.354618,1.1342074871063232,3927,25,34,20,7879.5451146081205,7878.75784316822,9.991331078761892e-05,5476.8706338136235,1550.0,46.613573921058205,1173.493553269163,0.0,4713.769999999989,763.1006338136345,0.0,32.0,68.0
2023-07-28_19:12:38.566541,1.3758506774902344,3927,25,34,20,7297.783528785181,7297.438711352181,4.724961101415008e-05,5201.081898584633,1700.0,97.76600997559981,1781.8382756672918,0.0,4713.359999999989,487.72189858464355,0.0,60.0,40.0
2023-07-28_19:12:43.356957,0.9481546878814697,3927,25,34,20,7565.262471403589,7565.262471403393,2.5967487093214468e-14,5525.710017903057,1450.0,75.43657580063966,769.9298210508045,3.3748875125463897e-12,4712.539999999988,813.1700179030652,0.0,28.000000000000004,68.0
2023-07-28_19:12:48.091344,1.5335137844085693,3927,50,10,10,9062.331730769762,9061.55728632561,8.545752540958252e-05,5613.643460657342,2800.0,143.06497739201862,2291.190474007887,0.0,4708.8499999999885,904.7934606573531,0.0,60.0,40.0
2023-07-28_19:12:52.580802,1.2658038139343262,3927,50,10,10,9996.30927337097,9995.7556482433,5.5382953100967906e-05,5866.68007094007,2900.0,120.20905993318658,2874.164454813693,0.0,4710.899999999989,1155.7800709400817,0.0,54.0,46.0
2023-07-28_19:12:57.086167,1.1289749145507812,3927,50,10,10,9356.68746278581,9356.68746278581,0.0,6004.550340380766,2700.0,126.96803815635423,1313.1845600489125,0.0,4712.539999999989,1292.0103403807768,0.0,40.0,60.0
2023-07-28_19:13:01.462050,1.1428256034851074,3927,50,10,10,9432.432313649468,9432.43149911458,8.635470262416282e-08,5633.598099303908,2700.0,153.5183605607195,3228.473724262737,0.0,4709.669999999989,923.9280993039197,0.0,56.00000000000001,44.0
