start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-27_18:31:00.152786,4.329501390457153,3927,75,10,20,24008.810400149156,24008.810400149156,0.0,17141.09469839733,5400.0,177.04620306397243,6134.800222611774,0.0,28.000000000000004,72.0
2023-07-27_18:31:15.620137,7.575199127197266,3927,75,10,20,22219.727716170513,22219.727716170513,0.0,16504.015527642547,4650.0,279.11612511925324,5169.035099587716,0.0,38.666666666666664,61.33333333333333
2023-07-27_18:31:31.455116,7.860624313354492,3927,75,10,20,23636.09181048839,23636.09181048839,0.0,16043.892923262083,4899.999975423416,186.53212396830187,4192.42818579275,0.0,42.66666666666667,57.333333333333336
2023-07-27_18:31:45.515933,6.117119789123535,3927,75,20,10,23105.576416031417,23105.576416031417,0.0,16423.735691253558,4949.999997368421,392.4816466104712,10763.328421565344,0.0,34.66666666666667,65.33333333333333
2023-07-27_18:31:51.903822,1.1671836376190186,3927,75,20,10,14994.85977368299,14994.85977368299,0.0,9340.561187900108,4200.0,134.1685798789847,2169.03795088776,0.0,30.666666666666664,69.33333333333334
2023-07-27_18:31:59.030988,2.2669384479522705,3927,75,20,10,15805.475809810276,15804.81538460834,4.178458212091422e-05,9383.091701986847,4600.0,124.07814310216094,2636.017614019572,0.0,41.333333333333336,58.666666666666664
2023-07-27_18:32:07.847322,3.814946413040161,3927,75,20,10,14592.47603032723,14592.47603032723,0.0,8753.435342689007,4799.99997589432,191.47688840320544,4001.1589557284037,0.0,53.333333333333336,46.666666666666664
2023-07-27_18:32:13.857365,1.1365742683410645,3927,75,20,10,16435.508035766135,16435.508035766008,7.747205499892207e-15,9940.05823799642,4700.0,197.63962220980568,3798.473538009864,0.0,17.333333333333336,82.66666666666667
2023-07-27_18:32:20.975708,2.2402896881103516,3927,75,20,15,14436.946941447588,14436.946941447588,0.0,8440.713153154089,4150.0,103.67137642100731,3539.302943788834,0.0,54.666666666666664,45.33333333333333
2023-07-27_18:32:32.537063,4.846033811569214,3927,75,20,15,19882.773337130362,19882.773337130362,0.0,12327.543380280395,5300.0,190.31976445356187,4082.319472938093,0.0,48.0,52.0
